Square Feet,Price,Floor,Status,Location
1689,538200,Second Floor,For Rent,Santa Monica Beach
700,774343,Second Floor,For Rent,Santa Monica Pier
529,786078,Ground Floor,For Sale,Santa Monica Downtown
1328,729071,Ground Floor,For Sale,Santa Monica Downtown
1194,792505,Second Floor,For Sale,Santa Monica Pier
1793,919724,Third Floor,For Sale,Santa Monica Beach
658,931734,Ground Floor,For Sale,Santa Monica Downtown
1308,800914,Third Floor,For Sale,Santa Monica Mountains
1593,941139,Third Floor,For Rent,Santa Monica Pier
915,616821,Third Floor,For Rent,Santa Monica Mountains
